"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Pcbp2" 0.171206225680934 0.3232 0.208261617900172 0.281927710843373 0.29810298102981 0.288888888888889 0.145748987854251 0.252100840336134 0.109375 0.252100840336134 0.329411764705882 0.0681818181818182
"Golph3" 0.232166018158236 0.4544 0.421686746987952 0.402409638554217 0.509485094850949 0.3 0.477732793522267 0.457983193277311 0.166666666666667 0.411764705882353 0.258823529411765 0.0909090909090909
"Tnnt2" 0.072632944228275 0.2416 0.144578313253012 0.0385542168674699 0.0921409214092141 0.0481481481481481 0.40080971659919 0.0546218487394958 0.0572916666666667 0.529411764705882 0.0117647058823529 0
"Ankrd13d" 0.0181582360570687 0.0352 0.0309810671256454 0.0289156626506024 0.024390243902439 0.0481481481481481 0.0121457489878542 0.0336134453781513 0.0104166666666667 0.0252100840336134 0.0117647058823529 0
"Luc7l3" 0.249027237354086 0.5456 0.526678141135972 0.532530120481928 0.552845528455285 0.525925925925926 0.437246963562753 0.563025210084034 0.166666666666667 0.521008403361344 0.529411764705882 0.113636363636364
"Ypel3" 1.51491569390402 1.4176 1.57831325301205 1.44819277108434 1.34417344173442 1.88148148148148 2.03643724696356 1.78151260504202 1.51041666666667 1.2436974789916 1.50588235294118 1.09090909090909
"Mapk8" 0.0518806744487678 0.152 0.117039586919105 0.156626506024096 0.157181571815718 0.107407407407407 0.109311740890688 0.159663865546218 0.104166666666667 0.151260504201681 0.164705882352941 0
"Dlg2" 0.00778210116731517 0.008 0.00516351118760757 0.0120481927710843 0.00813008130081301 0 0.0404858299595142 0.00420168067226891 0 0.00840336134453781 0 0
"Amn1" 0.119325551232166 0.2336 0.161790017211704 0.233734939759036 0.21680216802168 0.211111111111111 0.234817813765182 0.226890756302521 0.125 0.142857142857143 0.188235294117647 0.0681818181818182
"Prss23" 1.62775616083009 1.5632 1.66092943201377 1.07469879518072 4.5609756097561 1.62592592592593 2.23481781376518 0.546218487394958 1.609375 2.48739495798319 6.91764705882353 1.11363636363636
"Lrp2bp" 0.0012970168612192 0.0032 0.00344234079173838 0.00240963855421687 0.002710027100271 0 0 0 0 0 0 0
"Ccdc22" 0.0103761348897536 0.0048 0.00860585197934595 0.00963855421686747 0.018970189701897 0.0185185185185185 0.0283400809716599 0.00420168067226891 0.00520833333333333 0.00840336134453781 0.0235294117647059 0
"Pgap3" 0.012970168612192 0.0384 0.0413080895008606 0.0313253012048193 0.024390243902439 0.0148148148148148 0.0161943319838057 0.0252100840336134 0.0104166666666667 0.0420168067226891 0.0352941176470588 0
"Mcm3ap" 0.0389105058365759 0.0752 0.0705679862306368 0.0698795180722891 0.0867208672086721 0.0777777777777778 0.0526315789473684 0.0504201680672269 0.0104166666666667 0.0840336134453782 0.0588235294117647 0
"Apon" 0 0.0064 0 0 0.002710027100271 0.0148148148148148 0 0.00840336134453781 0 0.00840336134453781 0 0
"Znhit6" 0.0609597924773022 0.1232 0.134251290877797 0.146987951807229 0.184281842818428 0.151851851851852 0.0890688259109312 0.117647058823529 0.015625 0.151260504201681 0.235294117647059 0.0227272727272727
"Ndufb5" 1.59662775616083 1.8704 1.92598967297762 1.92048192771084 1.69376693766938 1.6962962962963 1.83400809716599 1.91176470588235 1.83333333333333 1.6890756302521 1.8 2.36363636363636
"Ramp2" 0.0168612191958495 0.008 0.00172117039586919 0.00240963855421687 0.00813008130081301 0.00740740740740741 1.0080971659919 0.117647058823529 0.078125 0.0168067226890756 0.0117647058823529 0.5
"Camk2g" 0.657587548638132 0.8416 0.731497418244406 0.756626506024096 0.883468834688347 0.781481481481481 0.303643724696356 0.361344537815126 0.661458333333333 0.588235294117647 1.34117647058824 0.886363636363636
"Plch2" 0.0181582360570687 0.0016 0.00172117039586919 0.00481927710843374 0.002710027100271 0.0037037037037037 0 0.00840336134453781 0 0 0 0
"Gm33543" 0.00907911802853437 0.0176 0.0154905335628227 0.0192771084337349 0.018970189701897 0.0111111111111111 0.0202429149797571 0.0168067226890756 0 0.0336134453781513 0 0
"Ccdc50" 0.27367055771725 0.4576 0.426850258175559 0.47710843373494 0.560975609756098 0.425925925925926 0.396761133603239 0.457983193277311 0.354166666666667 0.512605042016807 0.505882352941176 0.113636363636364
"Rad17" 0.0985732814526589 0.152 0.125645438898451 0.175903614457831 0.140921409214092 0.144444444444444 0.109311740890688 0.147058823529412 0.0885416666666667 0.092436974789916 0.0823529411764706 0.0227272727272727
"Rps27a" 7.76783398184176 7.9776 8.41308089500861 8.25301204819277 7.92411924119241 8.43703703703704 7.5748987854251 8.60504201680672 7.953125 8.26050420168067 7.78823529411765 8.63636363636363
"Sardh" 0.072632944228275 0.0992 0.135972461273666 0.12289156626506 0.21680216802168 0.137037037037037 0.101214574898785 0.134453781512605 0.0364583333333333 0.252100840336134 0.117647058823529 0
"Lss" 0.0181582360570687 0.0304 0.044750430292599 0.0481927710843373 0.040650406504065 0.0407407407407407 0.0121457489878543 0.0714285714285714 0.0260416666666667 0.0420168067226891 0.0235294117647059 0
"Hibadh" 0.487678339818418 0.7152 0.6592082616179 0.636144578313253 0.663956639566396 0.559259259259259 0.473684210526316 0.642857142857143 0.536458333333333 0.596638655462185 0.341176470588235 1.02272727272727
"Ssbp2" 0.372243839169909 0.5888 0.63855421686747 0.708433734939759 0.588075880758808 0.677777777777778 0.603238866396761 0.579831932773109 0.359375 0.487394957983193 0.823529411764706 0.772727272727273
"2410002F23Rik" 0.0933852140077821 0.1296 0.125645438898451 0.134939759036145 0.170731707317073 0.111111111111111 0.1417004048583 0.113445378151261 0.0416666666666667 0.126050420168067 0.0941176470588235 0
"Josd2" 1.03242542153048 1.0512 0.993115318416523 1.05301204819277 0.975609756097561 0.733333333333333 0.538461538461538 0.861344537815126 1.16145833333333 0.80672268907563 0.588235294117647 0.909090909090909
"Tcf3" 0.0713359273670558 0.1712 0.134251290877797 0.180722891566265 0.159891598915989 0.177777777777778 0.230769230769231 0.168067226890756 0.078125 0.168067226890756 0.247058823529412 0.0454545454545454
"Vsig10l" 0.00259403372243839 0.0048 0.0120481927710843 0.00481927710843374 0.013550135501355 0.00740740740740741 0.00809716599190283 0.0126050420168067 0 0 0.0352941176470588 0
"Vmn1r214" 0.00389105058365759 0.016 0.0206540447504303 0.0168674698795181 0.024390243902439 0.0296296296296296 0.00809716599190283 0.00840336134453781 0 0.00840336134453781 0.0352941176470588 0.0227272727272727
"Atf2" 0.116731517509728 0.2368 0.177280550774527 0.221686746987952 0.233062330623306 0.177777777777778 0.291497975708502 0.176470588235294 0.0833333333333333 0.285714285714286 0.141176470588235 0.0227272727272727
"Togaram1" 0.0453955901426719 0.104 0.0533562822719449 0.0698795180722892 0.100271002710027 0.0888888888888889 0.0607287449392713 0.0546218487394958 0.0520833333333333 0.100840336134454 0.0588235294117647 0.0227272727272727
"Hjurp" 0.0674448767833982 0.1056 0.0791738382099828 0.108433734939759 0.143631436314363 0.0962962962962963 0.149797570850202 0.138655462184874 0.0729166666666667 0.109243697478992 0.0941176470588235 0.0227272727272727
"Sema4d" 0.0012970168612192 0.0128 0.0120481927710843 0.0072289156626506 0.021680216802168 0.0111111111111111 0.0202429149797571 0.0126050420168067 0 0.0336134453781513 0.0117647058823529 0.0227272727272727
"Ikzf2" 0.066147859922179 0.1328 0.0791738382099828 0.12289156626506 0.0948509485094851 0.0814814814814815 0.0688259109311741 0.100840336134454 0.0364583333333333 0.092436974789916 0.0705882352941176 0.0227272727272727
"Ssr2" 1.28534370946822 1.2608 1.33734939759036 1.29638554216867 1.32520325203252 1.15555555555556 1.61943319838057 2.07563025210084 1.28645833333333 1.60504201680672 1.01176470588235 1.25
"Ctdspl2" 0.0583657587548638 0.1424 0.134251290877797 0.139759036144578 0.149051490514905 0.148148148148148 0.11336032388664 0.117647058823529 0.046875 0.100840336134454 0.141176470588235 0
"Atp13a2" 0.0518806744487678 0.0752 0.080895008605852 0.0626506024096386 0.0514905149051491 0.0814814814814815 0.0526315789473684 0.092436974789916 0.0364583333333333 0.100840336134454 0.0117647058823529 0.113636363636364
"Nmi" 0.118028534370947 0.144 0.139414802065404 0.16144578313253 0.18970189701897 0.140740740740741 0.210526315789474 0.210084033613445 0.09375 0.201680672268908 0.105882352941176 0.0681818181818182
"Nmnat2" 0.00907911802853437 0.0112 0.0120481927710843 0.00481927710843374 0.0542005420054201 0.0222222222222222 0.0121457489878543 0.00840336134453781 0.00520833333333333 0.0420168067226891 0.0352941176470588 0
"Smox" 0.0220492866407263 0.0448 0.0430292598967298 0.0265060240963855 0.046070460704607 0.0185185185185185 0.133603238866397 0.0714285714285714 0.0572916666666667 0.092436974789916 0.0470588235294118 0
"Pan3" 0.793774319066148 0.4512 0.38209982788296 0.43855421686747 0.457994579945799 0.42962962962963 0.360323886639676 0.504201680672269 0.494791666666667 0.563025210084034 0.517647058823529 0.409090909090909
"Gart" 0.0856031128404669 0.1776 0.141135972461274 0.120481927710843 0.205962059620596 0.12962962962963 0.161943319838057 0.134453781512605 0.140625 0.201680672268908 0.223529411764706 0.0909090909090909
"Ube2m" 0.50064850843061 0.7072 0.59552495697074 0.657831325301205 0.769647696476965 0.662962962962963 0.619433198380567 0.550420168067227 0.515625 0.798319327731092 0.788235294117647 1
"Agap2" 0.012970168612192 0.0016 0.0120481927710843 0.0072289156626506 0.00542005420054201 0 0.0202429149797571 0 0 0.00840336134453781 0.0235294117647059 0
"2610002M06Rik" 0.0557717250324254 0.0832 0.108433734939759 0.163855421686747 0.119241192411924 0.0666666666666667 0.129554655870445 0.0966386554621849 0.0260416666666667 0.218487394957983 0.152941176470588 0
"Srsf11" 0.660181582360571 0.7824 0.672977624784854 0.814457831325301 0.791327913279133 0.692592592592593 0.631578947368421 0.760504201680672 0.75 0.689075630252101 0.541176470588235 1.13636363636364
"Atp5h" 5.39688715953307 5.5264 5.76247848537005 5.5566265060241 5.28455284552845 5.58148148148148 4.417004048583 5.78151260504202 5.58333333333333 5.10924369747899 5.07058823529412 5.52272727272727
"Cd34" 0.0298313878080415 0.0224 0.044750430292599 0.0409638554216867 0.0677506775067751 0.0296296296296296 1.8502024291498 0.0294117647058824 0.166666666666667 0.226890756302521 0.0588235294117647 0.136363636363636
"Ubn2" 0.163424124513619 0.2816 0.261617900172117 0.298795180722892 0.292682926829268 0.244444444444444 0.234817813765182 0.289915966386555 0.109375 0.277310924369748 0.305882352941176 0
"Atp11b" 0.0869001297016861 0.1792 0.151462994836489 0.2 0.211382113821138 0.17037037037037 0.1417004048583 0.126050420168067 0.0677083333333333 0.176470588235294 0.141176470588235 0.0454545454545455
"Arhgef39" 0.0168612191958495 0.0288 0.0103270223752151 0.0240963855421687 0.018970189701897 0.0185185185185185 0.0161943319838057 0.0126050420168067 0.00520833333333333 0.0336134453781513 0.0352941176470588 0.0454545454545454
