"0" "1" "2" "3" "4" "5" "6" "7"
"Cnksr3" 0.0538461538461538 0.0943396226415094 0.087378640776699 0.0879120879120879 0.158536585365854 0.0196078431372549 0.0212765957446809 0.0263157894736842
"Odf2" 0.0153846153846154 0.10377358490566 0.0194174757281553 0.142857142857143 0.146341463414634 0.0196078431372549 0.0425531914893617 0
"Spop" 0.984615384615385 0.669811320754717 1.03883495145631 0.802197802197802 0.646341463414634 1.29411764705882 0.574468085106383 1.05263157894737
"Zfp446" 0.00769230769230769 0 0 0.010989010989011 0.024390243902439 0.0196078431372549 0 0
"Ltbp3" 0.915384615384615 1.09433962264151 0.592233009708738 0.0769230769230769 0.817073170731707 1.13725490196078 0.574468085106383 0.789473684210526
"Ccnb1" 0.0538461538461538 0.122641509433962 0 0.0659340659340659 0.0487804878048781 0.0392156862745098 0 0
"D130007C19Rik" 0 0.00943396226415094 0.00970873786407767 0.010989010989011 0.0365853658536585 0.0392156862745098 0 0
"Pnpla7" 0 0.0188679245283019 0 0.153846153846154 0.024390243902439 0.0392156862745098 0 0.0263157894736842
"Abca1" 0.0923076923076923 0.377358490566038 0.058252427184466 1.18681318681319 0.268292682926829 0.313725490196078 0.361702127659574 0.210526315789474
"Pknox1" 0.0153846153846154 0.0471698113207547 0.0679611650485437 0.0549450549450549 0.0121951219512195 0.0392156862745098 0.0638297872340425 0
"Gtf2h4" 0.0230769230769231 0.207547169811321 0.12621359223301 0.0879120879120879 0.146341463414634 0.0980392156862745 0.25531914893617 0
"Usb1" 0 0.10377358490566 0.106796116504854 0.0879120879120879 0.0609756097560976 0.0392156862745098 0 0
"Chchd3" 0.184615384615385 0.443396226415094 0.398058252427184 0.406593406593407 0.378048780487805 0.588235294117647 0.404255319148936 0.0263157894736842
"Exoc4" 0.0384615384615385 0.132075471698113 0.116504854368932 0.208791208791209 0.280487804878049 0.235294117647059 0.212765957446808 0.0789473684210526
"Pisd" 0.123076923076923 0.283018867924528 0.0970873786407767 0.351648351648352 0.109756097560976 0.137254901960784 0.276595744680851 0.105263157894737
